Classic Vinyl HD,https://walmradio.com:8443/classic,,
Classic Vinyl HD,https://walmradio.com:8443/classic,,
Classic Vinyl HD,https://walmradio.com:8443/classic,,
80s80s,http://streams.80s80s.de/web/mp3-192/streams.80s80s.de/,,
80s80s,http://streams.80s80s.de/web/mp3-192/streams.80s80s.de/Alternative (The Alternative Project),http://c9.prod.playlists.ihrhls.com/4447/playlist.m3u8,,
Chillout (Groove Salad - SomaFM),http://somafm.com/startstream=groovesalad.pls,,
Downtempo (Secret Agent - SomaFM),http://somafm.com/secretagent.pls,,
Electronic/Dance (Electronic Culture),http://www.shouted.fm/tunein/electro-dsl.m3u,,
Intelligent dance music (Cliq Hop - SomaFM),http://somafm.com/startstream=cliqhop.pls,,
Lounge (Illinois Street Lounge - SomaFM),http://somafm.com/illstreet.pls,,
Rock (Digitalis - SomaFM),http://somafm.com/digitalis.pls,,
DanceUK,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:8024/listen.pls&t=.pls,,
JazzGroove,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://199.180.72.2:8015/listen.pls?sid=1&t=.pls,,
Radio Paradise - Main Mix,http://stream.radioparadise.com/aac-128,,
Radio Paradise - Eclectic Mix,http://stream.radioparadise.com/eclectic-128,,
Echoes of Bluemars,http://streams.echoesofbluemars.org:8000/bluemars.m3u,,
Echoes of Bluemars - Cryosleep,http://streams.echoesofbluemars.org:8000/cryosleep.m3u,,
Echoes of Bluemars - Voices from Within,http://streams.echoesofbluemars.org:8000/voicesfromwithin.m3u,,
#1980s Zoom,https://samcloud.spacial.com/api/listen?sid=111415&rid=194939&f=mp3,any&br=128000,any&m=sc,,
#1980s Zoom,https://samcloud.spacial.com/api/listen?sid=111415&rid=194939&f=mp3,any&br=128000,any&m=sc,,
#1980s Zoom,https://samcloud.spacial.com/api/listen?sid=111415&rid=194939&f=mp3,any&br=128000,any&m=sc,,
#1980s Zoom,https://samcloud.spacial.com/api/listen?sid=111415&rid=194939&f=mp3,any&br=128000,any&m=sc,,
